userid,location,date_time
Ue4d310d688e94b0ad54a273ce959ad0f,"(24.173532617448107, 120.64251484998229)",2021/07/02 18:51:38
Ue4d310d688e94b0ad54a273ce959ad0f,"(24.172093, 120.6434092)",2021/07/02 21:56:43
