userid,location,date_time
U34944834ac177bbd1252e63189e6897c,"(23.71213, 120.564259)",2021/07/02 14:07:51
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:08:43
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:09:51
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:10:33
U34944834ac177bbd1252e63189e6897c,"(23.712134, 120.56426)",2021/07/02 14:11:07
U34944834ac177bbd1252e63189e6897c,"(23.712132, 120.564258)",2021/07/02 15:02:56
